t,price,pos_qty_before,cash_before,decision_type,side,qty_intended,fees_bps,slip_bps,fees_est,slippage_est,costs_total_est,exp_return,executed,reason
1762426799999,103122.54,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426859999,103060.04,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426919999,103057.67,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426979999,102894.47,0.0,9982.327328664353,OPEN_SHORT,SELL,0.0970151974995775,2.5,1.0,2.495581832166088,0.9982327328664353,3.4938145650325234,0.0,1,mom_short
1762427039999,102851.9,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427099999,102852.25,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427159999,102839.99,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427219999,102802.73,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427279999,102788.75,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427339999,102862.41,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427399999,102840.92,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427459999,102894.92,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427519999,102872.09,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427579999,102887.53,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427639999,102882.36,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427699999,102878.58,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427759999,102868.81,-0.0970151974995775,19961.161092321854,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427819999,102903.37,-0.0970151974995775,19961.161092321854,CLOSE_SHORT,BUY,0.0970151974995775,2.5,1.0,2.4957976909805244,0.9983190763922097,3.4941167673727342,0.0,1,mom_exit_short
1762427879999,102987.34,0.0,9974.475962052615,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427939999,102984.54,0.0,9974.475962052615,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762427999999,103050.0,0.0,9974.475962052615,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428059999,103091.18,0.0,9974.475962052615,OPEN_LONG,BUY,0.09675392174240915,2.5,1.0,2.493618990513154,0.9974475962052615,3.491066586718415,0.0,1,mom_long
1762428119999,103137.33,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428179999,103082.01,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428239999,103103.08,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428299999,103109.83,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428359999,103083.95,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428419999,103099.99,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428479999,103138.58,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428539999,103159.64,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428599999,103142.97,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428659999,103226.72,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428719999,103173.4,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428779999,103188.97,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428839999,103143.19,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428899999,103143.23,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762428959999,103171.91,0.09675392174240915,-3.4913159486186487,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429019999,103127.33,0.09675392174240915,-3.4913159486186487,CLOSE_LONG,SELL,0.09675392174240915,2.5,1.0,2.494493404080901,0.9977973616323605,3.4922907657132614,0.0,1,mom_exit_long
1762429079999,103152.75,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429139999,103148.97,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429199999,103192.93,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429259999,103170.27,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429319999,103230.99,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429379999,103247.54,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429439999,103300.01,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429499999,103173.52,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429559999,103206.48,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429619999,103176.22,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429679999,103226.61,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429739999,103271.55,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429799999,103180.01,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429859999,103150.75,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429919999,103186.16,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762429979999,103227.89,0.0,9970.990259058612,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
