t,open,high,low,close,volume
1762428539999,103138.58,103159.64,103129.38,103159.64,4.57739
1762428599999,103159.64,103173.46,103142.97,103142.97,3.95122
1762428659999,103142.98,103226.72,103142.97,103226.72,11.50151
1762428719999,103226.72,103262.42,103173.39,103173.4,10.95088
1762428779999,103173.39,103188.97,103150.17,103188.97,7.45885
1762428839999,103188.96,103195.14,103143.18,103143.19,4.90978
1762428899999,103143.19,103175.1,103143.19,103143.23,4.51205
1762428959999,103143.22,103171.92,103143.22,103171.91,2.50559
1762429019999,103171.91,103229.06,103127.32,103127.33,22.60884
1762429079999,103127.32,103152.75,103085.43,103152.75,8.04431
1762429139999,103152.75,103164.59,103143.22,103148.97,2.83978
1762429199999,103148.96,103192.93,103148.96,103192.93,9.29777
1762429259999,103192.92,103192.93,103147.8,103170.27,6.56759
1762429319999,103170.27,103230.99,103170.26,103230.99,4.8896
1762429379999,103230.98,103247.54,103230.98,103247.54,4.86687
1762429439999,103247.54,103300.01,103247.53,103300.01,10.53567
1762429499999,103300.01,103300.01,103172.29,103173.52,11.3219
1762429559999,103173.53,103206.49,103168.81,103206.48,10.95893
1762429619999,103206.48,103215.27,103176.22,103176.22,7.64142
1762429679999,103176.23,103226.61,103176.22,103226.61,5.1454
1762429739999,103226.6,103272.24,103226.6,103271.55,9.15042
1762429799999,103271.55,103271.55,103180.0,103180.01,7.51898
1762429859999,103180.0,103180.28,103150.18,103150.75,9.33542
1762429919999,103150.75,103186.17,103139.36,103186.16,5.38701
1762429979999,103186.17,103227.9,103186.16,103227.89,5.10795
